cat videoID numOfSnippet
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00184 2
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00194 3
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00240 1
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00250 2
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00170 1
4 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00117 1
4 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00010 41
4 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00119 47
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00302 1
4 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00181 1
19 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00040 31
19 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00240 16
19 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00250 19
19 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00181 14
19 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00018 4
19 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00302 1
19 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00053 13
19 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00166 2
19 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00184 1
19 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00297 1
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00190 2
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00149 6
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00286 1
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00217 1
11 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00046 1
11 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00123 1
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00255 1
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00232 4
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00270 2
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00196 1
11 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00028 1
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00254 1
11 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00315 1
9 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00099 1
9 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00025 40
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00161 20
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00219 1
9 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00052 3
9 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00005 20
9 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00078 2
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00179 1
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00275 1
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00308 24
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00290 24
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00180 1
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00171 3
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00142 2
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00215 1
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00256 1
9 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00061 1
9 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00091 6
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00253 36
9 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00172 4
6 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00229 2
6 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00240 2
6 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00181 1
6 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00293 8
6 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00302 30
6 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00147 1
6 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00184 7
6 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00086 1
6 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00062 2
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00199 5
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00160 2
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00278 4
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00221 10
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00204 1
3 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00118 11
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00239 1
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00174 1
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00202 1
3 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00135 5
3 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00097 1
3 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00226 3
26 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00021 1
26 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00139 6
26 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00273 4
26 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00157 1
26 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00125 1
26 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00305 1
26 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00138 23
26 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00009 1
26 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00003 1
1 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00064 4
1 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00082 1
1 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00188 2
1 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00117 42
1 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00030 5
1 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00034 24
1 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00259 33
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00265 38
5 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00038 1
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00194 8
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00150 26
5 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00006 2
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00237 1
5 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00115 5
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00258 1
5 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00026 2
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00214 2
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00311 3
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00209 12
5 VID/train/ILSVRC2015_VID_train_0001/ILSVRC2015_train_00174 1
5 VID/train/ILSVRC2015_VID_train_0000/ILSVRC2015_train_00102 34
